40, 37, 15, 63, 25, 48, 31, 56, 12, 29, 55, 7, 36, 13, 14, 4, 54, 1, 20, 41, 3, 57, 43, 59, 33, 6, 2, 19, 0, 42, 45, 50, 28, 9, 52, 11, 44, 21, 46, 58, 22, 5, 27, 38, 18, 8, 17, 35, 16, 34, 26, 30, 51, 61, 24, 47, 23, 62, 39, 49, 10, 53, 60, 32
60, 62, 34, 48, 58, 1, 39, 43, 61, 17, 36, 16, 54, 29, 41, 50, 5, 45, 10, 13, 12, 63, 9, 3, 8, 15, 24, 38, 31, 26, 4, 40, 47, 21, 53, 56, 11, 6, 14, 23, 42, 19, 32, 0, 33, 35, 25, 51, 55, 7, 30, 37, 49, 18, 46, 28, 44, 20, 22, 27, 59, 57, 52, 2
15, 17, 61, 57, 63, 21, 39, 7, 38, 27, 50, 6, 37, 45, 59, 53, 36, 32, 14, 18, 5, 33, 56, 35, 0, 4, 22, 23, 26, 54, 16, 19, 48, 20, 13, 44, 58, 8, 1, 49, 55, 60, 11, 46, 2, 51, 12, 3, 30, 29, 62, 24, 9, 47, 28, 10, 25, 41, 34, 43, 40, 52, 42, 31
43, 24, 30, 32, 44, 18, 36, 17, 21, 63, 7, 57, 6, 14, 20, 61, 34, 35, 11, 2, 25, 15, 54, 56, 13, 53, 52, 42, 26, 38, 49, 60, 22, 0, 50, 48, 31, 47, 8, 3, 12, 39, 16, 19, 45, 29, 62, 1, 46, 41, 33, 55, 9, 28, 51, 27, 59, 5, 58, 40, 10, 37, 23, 4
49, 8, 53, 52, 27, 62, 46, 35, 13, 16, 51, 30, 48, 42, 12, 19, 15, 39, 57, 58, 1, 45, 50, 4, 40, 56, 44, 43, 32, 59, 55, 14, 38, 20, 36, 37, 17, 7, 63, 33, 22, 26, 60, 21, 0, 23, 28, 3, 31, 34, 61, 24, 9, 41, 25, 11, 2, 5, 10, 29, 47, 6, 18, 54
44, 9, 12, 22, 21, 14, 60, 58, 29, 62, 15, 61, 6, 5, 35, 38, 47, 1, 20, 37, 51, 39, 40, 34, 11, 7, 45, 50, 57, 19, 46, 42, 54, 56, 23, 10, 36, 28, 8, 41, 43, 48, 17, 49, 26, 3, 32, 4, 33, 53, 31, 2, 16, 0, 59, 24, 63, 13, 52, 55, 25, 27, 30, 18
0, 31, 38, 14, 17, 16, 45, 29, 15, 52, 5, 6, 57, 44, 3, 22, 18, 30, 49, 32, 46, 34, 54, 26, 36, 2, 25, 43, 53, 4, 12, 51, 19, 8, 21, 1, 28, 59, 42, 13, 41, 63, 55, 48, 11, 58, 50, 9, 47, 37, 10, 61, 33, 27, 62, 40, 60, 35, 56, 7, 39, 20, 24, 23
50, 21, 7, 41, 53, 40, 12, 2, 0, 14, 29, 36, 3, 16, 51, 34, 15, 18, 11, 24, 9, 57, 32, 22, 8, 6, 23, 10, 37, 62, 52, 1, 35, 5, 47, 48, 43, 31, 27, 49, 44, 58, 55, 4, 30, 17, 45, 20, 42, 56, 39, 13, 26, 63, 59, 61, 46, 25, 38, 33, 54, 60, 28, 19
31, 54, 47, 25, 9, 51, 42, 40, 22, 3, 55, 41, 26, 6, 23, 46, 61, 0, 18, 1, 38, 16, 21, 7, 32, 4, 12, 2, 30, 19, 20, 37, 24, 59, 8, 53, 50, 11, 36, 10, 48, 17, 28, 45, 44, 34, 49, 43, 27, 52, 14, 13, 56, 60, 63, 33, 29, 39, 5, 15, 57, 35, 58, 62
8, 33, 30, 14, 13, 6, 2, 51, 15, 45, 34, 53, 62, 49, 19, 54, 41, 0, 27, 38, 31, 11, 36, 7, 55, 23, 58, 17, 16, 40, 4, 9, 10, 22, 25, 50, 44, 24, 21, 46, 29, 20, 37, 32, 26, 5, 56, 42, 28, 39, 60, 48, 12, 57, 35, 3, 43, 52, 47, 1, 63, 59, 61, 18
